hand,-0.14729964524378156,0.03987869308200652,0.07176679014121129,-7.005816299277403,16.431987830543353,178.45815316609537
eye,-0.03589704,-0.02513233,0.52174357,-174.24003884,65.09706774,27.69749103
hand,-0.1634072964912356, 0.12786315188339933, 0.044463549939229546, -43.09196613703389, -0.1699818570940679, 172.29788305225162
eye,-0.02689732,-0.11859978,0.57563393,-129.76387888 ,51.78116322,  6.43093844
hand,-0.16078160794604707, 0.10919100733955497, 0.055448272445156516, -32.81198451696973, 30.37157845287827, -176.28890880551594
eye,-0.02582633,-0.09311532,0.53784816,-135.45916742, 29.15661545,-31.17637102
hand,-0.15702087321253058, 0.09676248613693805, 0.010785710224916228, -13.050914458887938,-43.71924208486232, 73.07701972635915
eye,-0.03126126,-0.08354778,0.58973315,-32.70415169,127.94963605, 32.61127271
hand,-0.12144757547905226, 0.09083109956979898, 0.0647454591598863, -3.77677338940534, -16.457740337564424, 163.85866763286862
eye,-0.06730776,-0.07054134, 0.50271894,152.74891436,-82.48526807,-27.57613993
hand,-0.10531963607774981, -0.03361622157431657, 0.047650367462673315, -19.866108967507202,-27.218452314326253, 153.23454863043764
eye,-0.09065998,0.06300691 ,0.57048921,160.58511827,-112.25061294, -37.88109468
hand,-0.26476493738761814, 0.17055334030233368, 0.09283892900712512, -21.817864822012417, -20.34713819947577, 82.13511887056588
eye,0.09828707,-0.1631858,0.51811434,-49.91252774,135.61307,5.66069816
hand,-0.11195136627831512, 0.019272064582268076, 0.053014562005715915, -15.058019331075672, 3.787396311043264, -127.5531820730616
eye,-0.08120088, -0.00129006 , 0.54464986,168.57196512,  20.48706448 , 34.75746155
hand,-0.2711763454822637, 0.1015881416668403, 0.021701628682134766, -21.471439879527214, 40.40258277903861, 175.5376413746377
eye, 0.10821772,-0.10822853 ,0.60903965,-135.69908871,42.94425172, -45.03574107
hand,-0.23259148784452863, 0.09783928833676533, 0.06280993650235811, 43.21860226590848, 28.550671511068117, -8.605219709988102
eye,0.05777874,-0.08929349, 0.53351508,-70.35900555,-119.28979148, -47.18194351
hand,-0.20366574992829442, -0.03545174240798471, 0.027881476476811634, -41.36892971079259,7.051594837500491, 127.06375246773653
eye,0.03277858, 0.04283324, 0.55475332,-94.42368241, 97.02358618,-13.74470845
hand,-0.15211255150419123, 0.14553448121337875, 0.06105198398332795, -12.450198462019962,20.307480334683362, 114.50366725395791
eye,-0.03157487,-0.14092574,0.53203454,115.6672241 ,-142.70981819 , 39.3451754
